,smi,Score,Score_bin
0,NC(=O)c1ccc(-c2ccc3ccccc3n2)cc1,-30.421165999999996,1
1,Nc1nc2nc(-c3ccccc3)cc(-c3ccccc3)n2n1,-20.839885,0
2,O=C1[C@@H](N2CCc3cccc(F)c32)CCN1CC(F)(F)F,-30.615744,1
3,CSCc1cc(C(=O)N2CCc3[nH]ncc3C2)ccc1F,-25.646399,0
4,CC(=O)Nc1ccc(NC(=O)CSc2ccc(F)cc2)cc1,-29.50230800000001,0
5,CC1(C)C[C@H]1C(=O)NC1CCCCCCC1,-20.051771,0
6,CC(=O)c1ccc(NC(=O)COC(=O)Cc2ccsc2)cc1,-21.931228,0
7,COc1ccc(N=c2cc(C3CC3)[nH]c(=NC3CC3)[nH]2)cc1F,-25.710860999999998,0
8,CCOC(=O)CSc1nnc(NC(=O)Nc2ccccc2)s1,-24.110393,0
9,CCOc1cc(/C=c2\sc3nc4c(ccc(C)c4C)n3c2=O)ccc1O,-31.037974,1
10,CCn1cc(CN(CC(C)C)C(=O)c2ccc3[nH]nnc3c2)cn1,-20.144658,0
11,CC(C)(C)CN1CCC[C@H](N2CC[C@H](c3ncc[nH]3)C2)C1=O,-17.522814999999998,0
12,Cc1cc(C)n(C[C@H]2CCCN2CC(=O)N2CCNC2=O)n1,-15.131878,0
13,O=C(Nc1cccc(S(=O)(=O)N2CCCCCC2)c1)c1ccccc1F,-28.525607,0
14,COC[C@H]1CN(C(=O)Cc2ccccn2)Cc2cn(CC3CC3)nc21,-24.471356,0
15,CC(C)CN1CCC2(CC1)COc1ccccc1S(=O)(=O)N(C)C2,-12.468200999999999,0
16,O=C(C[C@H]1COCCN1)N1CCc2[nH]nc(C3CCC3)c2C1,-13.21962,0
17,CCc1noc(-c2ccccc2NC(=O)[C@H]2CC(=O)N(c3ccccc3)C2)n1,-23.497730999999998,0
18,Cc1cccc(O[C@@H](C)C(=O)NCc2ccc(OCC(N)=O)cc2)c1,-34.349234,1
19,CSc1ncccc1C(=O)N1CCC(CNC(=O)C(=O)NC2CC2)CC1,-25.14873900000001,0
20,O=C(c1ccsc1)N1CC[C@@]2(C1)CCCN(CC1CCC1)C2=O,-26.533951000000002,0
21,CCOC(=O)c1c[nH]n(CC(=O)N[C@H](C)c2cc(C)ccc2C)c1=N,-18.157804000000002,0
22,Cc1cc(C)n(CCCN(C)C(=O)Cn2c(C)nn(-c3ccccc3)c2=O)n1,-18.182789,0
23,O=C(CN1CCN(C2Cc3ccccc3C2)CC1)NC[C@H]1CCCO1,-19.537631,0
24,O=C(CCn1ncc(=O)c2ccccc21)NCc1cc2ccccc2o1,-23.211674,0
25,CC(C)CNC(=O)[C@@H](C)Oc1ccc(S(=O)(=O)NCc2ccccc2)cc1,-22.279567,0
26,CN(C)c1ncc(CN2CCC3(CC2)CCCN(C)CC3)cn1,-13.418297,0
27,CC(C)c1nnc(CN2CCC[C@H](c3ccn(CCO)n3)C2)o1,-13.899281,0
28,CC(C)C(=O)Nc1nnc(SCC(=O)N2CCCCC2)s1,-21.107349,0
29,CN(C)CCC(=O)N1CC2(C1)C[C@@H](Oc1ccccn1)CS2,-21.95789,0
30,Cc1csc([C@H]2CCCCN2C(=O)[C@@H]2COc3ccccc3O2)n1,-25.69639500000001,0
31,C[C@]1(c2ccsc2)NC(=O)N(CCOc2ccc(Cl)cc2Cl)C1=O,-22.409084,0
32,O=C1N(Cc2ccc(F)cc2)CCC[C@@]1(O)CNCc1cnn2cccnc12,-25.179412,0
33,CC[C@H]1C(=O)NCCN1C(=O)[C@H]1CC(Cc2cccc(OC)c2)=NO1,-23.574807999999997,0
34,Cc1nn(C)cc1[C@H](C)NC(=O)CC(C)(C)CC(=O)c1ccccc1,-12.377713,0
35,O=C(COC(=O)c1cccc(-n2cnnn2)c1)c1ccc(Br)s1,-34.994056,1
36,COc1ccc(S(=O)(=O)N[C@@H]2CCN(c3cc(C)cc(C)c3)C2=O)cc1,-18.193992,0
37,Cc1cnc(C2CCOCC2)n1[C@H]1CCN(C2CCN(C)CC2)C1,-10.976709,0
